INSTNM,STABBR,ADM_RATE,NPT4_PUB,MD_EARN_WNE_P10,UGDS
The University of Tennessee-Martin,TN,0.7334,7944,35600,6387
The University of Texas at Arlington,TX,0.614,13790,45900,29616
The University of Texas at Austin,TX,0.3966,17152,53000,38914
The University of Texas at Brownsville,TX,NULL,6425,29100,9973
The University of Texas at Dallas,TX,0.6194,12050,49700,14300
The University of Texas at El Paso,TX,0.9989,6984,39100,19614
The University of Texas at San Antonio,TX,0.7591,11867,43100,23815
The University of Texas at Tyler,TX,0.8358,13016,42200,5550
The University of Texas Health Science Center at Houston,TX,NULL,NULL,78700,657
The University of Texas Health Science Center at San Antonio,TX,NULL,NULL,72100,825
The University of Texas MD Anderson Cancer Center,TX,NULL,NULL,70600,292
The University of Texas Medical Branch,TX,NULL,NULL,68300,708
The University of Texas of the Permian Basin,TX,0.87,6900,42600,3311
The University of Texas Rio Grande Valley,TX,0.628,2840,39600,17811
The University of the Arts,PA,0.6954,NULL,29800,1726
The University of Virginia's College at Wise,VA,0.6882,11578,36500,1477
The University of West Florida,FL,0.4167,11227,35800,9794
The Wright Institute,CA,NULL,NULL,PrivacySuppressed,NULL
Thiel College,PA,0.6949,NULL,37000,1025
Thomas Aquinas College,CA,0.827,NULL,30200,378
Thomas College,ME,0.7428,NULL,35300,851
Thomas Edison State University,NJ,NULL,NULL,46600,20143
Thomas Jefferson School of Law,CA,NULL,NULL,PrivacySuppressed,NULL
Thomas Jefferson University,PA,NULL,NULL,86300,705
Thomas More College,KY,0.9328,NULL,45900,1243
Thomas More College of Liberal Arts,NH,0.76,NULL,PrivacySuppressed,93
Thomas Nelson Community College,VA,NULL,7276,29600,8921
Thomas University,GA,0.6027,NULL,36200,800
Three Rivers Community College,CT,NULL,4044,31100,4161
Three Rivers Community College,MO,NULL,8036,25400,3055
Thunderbird School of Global Management,AZ,NULL,NULL,118900,1
Thuy Princess Beauty College,CA,NULL,NULL,PrivacySuppressed,74
Tidewater Community College,VA,NULL,6767,29800,24631
Tidewater Tech-Trades,VA,NULL,NULL,PrivacySuppressed,301
Tiffin Academy of Hair Design,OH,NULL,NULL,16600,56
Tiffin University,OH,0.5438,NULL,37500,2603
Tillamook Bay Community College,OR,NULL,6658,34200,327
Tint School of Makeup & Cosmetology-Seattle,WA,NULL,NULL,NULL,95
Tint School of Makeup and Cosmetology-Dallas,TX,NULL,NULL,16400,63
Tint School of Makeup and Cosmetology-Grand Prairie,TX,NULL,NULL,16400,124
Tint School of Makeup and Cosmetology-Irving,TX,NULL,NULL,18200,95
Toccoa Falls College,GA,0.3705,NULL,24900,807
Tohono O'Odham Community College,AZ,NULL,14716,PrivacySuppressed,179
Toledo Academy of Beauty Culture-East,OH,NULL,NULL,13300,119
Toledo Public Schools Adult and Continuing Education,OH,NULL,13506,32100,123
Toledo Restaurant Training Center,OH,NULL,NULL,NULL,31
Tom P Haney Technical Center,FL,NULL,6277,22500,395
Tomorrow's Image Barber Academy of Virginia,VA,NULL,NULL,NULL,24
Tompkins Cortland Community College,NY,NULL,9595,29800,2859
Toni & Guy Hairdressing Academy-Albuquerque,NM,NULL,NULL,NULL,126
Toni & Guy Hairdressing Academy-Allentown,PA,NULL,NULL,19300,43
Toni & Guy Hairdressing Academy-Ambler,PA,NULL,NULL,17900,115
Toni & Guy Hairdressing Academy-Atlanta,GA,NULL,NULL,18400,63
Toni & Guy Hairdressing Academy-Colorado Springs,CO,NULL,NULL,PrivacySuppressed,172
Toni & Guy Hairdressing Academy-Cranston,RI,NULL,NULL,NULL,159
Toni & Guy Hairdressing Academy-Manteca,CA,NULL,NULL,NULL,72
Toni & Guy Hairdressing Academy-Modesto,CA,NULL,NULL,NULL,69
Toni & Guy Hairdressing Academy-Plano,TX,NULL,NULL,26700,158
Toni & Guy Hairdressing Academy-Santa Monica,CA,NULL,NULL,PrivacySuppressed,225
Toni & Guy Hairdressing Academy-Worcester,MA,NULL,NULL,PrivacySuppressed,168
Toni&Guy Hairdressing Academy,PA,NULL,NULL,17900,NULL
Top Nails & Hair Beauty School,UT,NULL,NULL,NULL,40
Torah Temimah Talmudical Seminary,NY,1,NULL,PrivacySuppressed,102
Total Cosmetology Training Center,WA,NULL,NULL,PrivacySuppressed,67
Total Image Beauty Academy,NJ,NULL,NULL,NULL,134
Total Look School of Cosmetology & Massage Therapy,IA,NULL,NULL,PrivacySuppressed,9
Total Transformation Institute of Cosmetology,TX,NULL,NULL,NULL,54
Tougaloo College,MS,0.403,NULL,26800,895
Touro College,NY,0.2978,NULL,29400,5870
Touro University California,CA,NULL,NULL,NULL,NULL
Touro University Nevada,NV,NULL,NULL,NULL,31
Touro University Worldwide,CA,0.3385,NULL,NULL,214
Towson University,MD,0.5921,16363,49200,18546
Tramy Beauty School,CA,NULL,NULL,NULL,158
Transformed Barber and Cosmetology Academy,MO,NULL,NULL,NULL,81
Transylvania University,KY,0.8262,NULL,39700,1014
Travel Institute of the Pacific,HI,NULL,NULL,21200,153
Traviss Career Center,FL,NULL,7372,28200,1115
Traxlers School of Hair,MS,NULL,NULL,PrivacySuppressed,41
Treasure Valley Community College,OR,NULL,13576,27500,2105
Trend Barber College,TX,NULL,NULL,PrivacySuppressed,109
Trend Setters School of Cosmetology,MO,NULL,NULL,NULL,61
Trend Setters' Academy of Beauty Culture-Elizabethtown,KY,NULL,NULL,15500,69
Trend Setters' Academy of Beauty Culture-Louisville,KY,NULL,NULL,15500,88
Trend Setters' Academy of Beauty Culture-Louisville,KY,NULL,NULL,15500,138
Trendsetters School of Beauty & Barbering,FL,NULL,NULL,PrivacySuppressed,30
Trenz Beauty Academy,IL,NULL,NULL,NULL,54
Trevecca Nazarene University,TN,0.7308,NULL,39200,1609
Tri County Regional Vocational Technical High School,MA,NULL,10207,NULL,65
Tri-County Adult Career Center,OH,NULL,NULL,PrivacySuppressed,105
Tri-County Beauty Academy,IL,NULL,NULL,PrivacySuppressed,19
Tri-County Community College,NC,NULL,7358,21100,814
Tri-County Technical College,SC,NULL,9356,27200,5581
Tri-Rivers Career Center,OH,NULL,20380,37400,142
Tri-State Bible College,OH,NULL,NULL,PrivacySuppressed,62
Tri-State College of Acupuncture,NY,NULL,NULL,PrivacySuppressed,NULL
Tri-State Cosmetology Institute,TX,NULL,NULL,14300,173
Tri-State Institute of Hair Design,KY,NULL,NULL,NULL,56
Triangle Tech Inc-Bethlehem,PA,NULL,NULL,42900,110
Triangle Tech Inc-Dubois,PA,NULL,NULL,34700,147
Triangle Tech Inc-Erie,PA,NULL,NULL,33800,46
Triangle Tech Inc-Greensburg,PA,NULL,NULL,42900,186
Triangle Tech Inc-Pittsburgh,PA,NULL,NULL,35500,226
Triangle Tech Inc-Sunbury,PA,NULL,NULL,34700,102
Tribeca Flashpoint College,IL,0.8994,NULL,NULL,353
Tricoci University of Beauty Culture-Bridgeview,IL,NULL,NULL,NULL,176
Tricoci University of Beauty Culture-Chicago NE,IL,NULL,NULL,NULL,89
Tricoci University of Beauty Culture-Chicago NW,IL,NULL,NULL,NULL,196
Tricoci University of Beauty Culture-Danville,IL,NULL,NULL,16800,42
Tricoci University of Beauty Culture-Glendale Heights,IL,NULL,NULL,NULL,138
Tricoci University of Beauty Culture-Highland,IN,NULL,NULL,18400,223
Tricoci University of Beauty Culture-Indianapolis,IN,NULL,NULL,NULL,111
Tricoci University of Beauty Culture-Lafayette,IN,NULL,NULL,PrivacySuppressed,88
Tricoci University of Beauty Culture-Libertyville,IL,NULL,NULL,NULL,119
Tricoci University of Beauty Culture-Peoria,IL,NULL,NULL,NULL,133
Tricoci University of Beauty Culture-Rockford,IL,NULL,NULL,NULL,145
Tricoci University of Beauty Culture-Urbana,IL,NULL,NULL,16800,32
Tricoci University of Beauty Cuture LLC-Bloomington,IN,NULL,NULL,PrivacySuppressed,65
Trident Technical College,SC,NULL,8477,29400,14201
Trident University International,CA,0.9351,NULL,PrivacySuppressed,2902
Trine University,IN,0.7599,NULL,40500,1654
Trine University-Arizona Regional Campus,AZ,0.6531,NULL,NULL,28
Trine University-Regional/Non-Traditional Campuses,IN,0.6667,NULL,40500,542
Trinidad State Junior College,CO,NULL,10072,24900,1183
Trinity Baptist College,FL,0.6368,NULL,28100,352
Trinity Bible College,ND,0.3645,NULL,25500,212
Trinity Christian College,IL,0.9022,NULL,41700,1237
Trinity College,CT,0.3304,NULL,54700,2262
Trinity College of Florida,FL,NULL,NULL,28600,224
Trinity College of Nursing & Health Sciences,IL,0.5714,NULL,44300,203
Trinity College of Puerto Rico,PR,NULL,NULL,15300,131
Trinity Episcopal School for Ministry,PA,NULL,NULL,NULL,NULL
Trinity Health System School of Nursing,OH,1,NULL,45000,98
Trinity International University-Florida,FL,NULL,NULL,38100,230
Trinity International University-Illinois,IL,1,NULL,38100,857
Trinity Law School,CA,NULL,NULL,38100,NULL
Trinity Lutheran College,WA,0.748,NULL,37100,209
Trinity Lutheran Seminary,OH,NULL,NULL,NULL,NULL
Trinity School of Health and Allied Sciences,CA,NULL,NULL,NULL,153
Trinity University,TX,0.4842,NULL,54000,2223
Trinity Valley Community College,TX,NULL,7229,28900,4720
Trinity Washington University,DC,0.9085,NULL,40700,1665
Triton College,IL,NULL,5345,31200,9366
Trocaire College,NY,0.5795,NULL,36800,1336
Troy University,AL,0.4414,11907,35600,15025
Troy University-Dothan Campus,AL,NULL,NULL,35600,NULL
Troy University-eTROY,AL,NULL,NULL,35600,NULL
Troy University-Global Campus,AL,NULL,NULL,35600,NULL
Troy University-Montgomery Campus,AL,NULL,NULL,35600,NULL
Troy University-Phenix City Campus,AL,NULL,NULL,35600,NULL
Truckee Meadows Community College,NV,NULL,7148,32100,8719
Truett-McConnell College,GA,0.9633,NULL,32700,729
Truman Medical Center School of Nurse Anesthesia,MO,NULL,NULL,NULL,NULL
Truman State University,MO,0.7448,12148,43000,5394
Trumbull Business College,OH,NULL,NULL,20000,192
Trumbull Career & Technical Center,OH,NULL,8034,22600,118
Tucson College,AZ,NULL,NULL,22500,356
Tucson College of Beauty,AZ,NULL,NULL,PrivacySuppressed,56
Tufts University,MA,0.1724,NULL,65000,5143
Tulane University of Louisiana,LA,0.2795,NULL,52900,7892
Tulare Beauty College,CA,NULL,NULL,PrivacySuppressed,41
Tulsa Community College,OK,NULL,6406,31300,15593
Tulsa Technology Center-Broken Arrow Campus,OK,NULL,10381,38200,734
Tulsa Technology Center-Lemley Campus,OK,NULL,16984,38200,1287
Tulsa Technology Center-Owasso Campus,OK,NULL,10807,NULL,377
Tulsa Technology Center-Peoria Campus,OK,NULL,3245,38200,553
Tulsa Technology Center-Riverside Campus,OK,NULL,6688,38200,666
Tulsa Technology Center-Sand Springs Campus,OK,NULL,3443,NULL,203
Tulsa Welding School-Jacksonville,FL,NULL,NULL,36100,735
Tulsa Welding School-Jacksonville,FL,NULL,NULL,36100,174
Tulsa Welding School-Tulsa,OK,NULL,NULL,36100,1054
Tulsa Welding School-Tulsa,OK,NULL,NULL,NULL,166
Tunxis Community College,CT,NULL,7370,32500,3546
Turning Point Beauty College,AZ,NULL,NULL,PrivacySuppressed,47
Turtle Mountain Community College,ND,NULL,NULL,20200,457
Tusculum College,TN,0.7194,NULL,37700,1746
Tuskegee University,AL,0.4922,NULL,36800,2588
Twin City Beauty College,MI,NULL,NULL,13800,257
Tyler Junior College,TX,NULL,7658,30800,11128
U S Grant Joint Vocational School,OH,NULL,3862,PrivacySuppressed,25
UEI,GA,NULL,NULL,NULL,NULL
UEI College,CA,NULL,NULL,24500,NULL
UEI College,CA,NULL,NULL,24500,NULL
UEI College,CA,NULL,NULL,24500,NULL
UEI College,CA,NULL,NULL,24500,NULL
UEI College,CA,NULL,NULL,24500,NULL
UEI College,CA,NULL,NULL,NULL,NULL
UEI College,CA,NULL,NULL,NULL,NULL
UEI College,CA,NULL,NULL,PrivacySuppressed,NULL
UEI College-Bakersfield,CA,NULL,NULL,NULL,NULL
UEI College-Fresno,CA,NULL,NULL,23400,1418
UEI College-Gardena,CA,NULL,NULL,PrivacySuppressed,1487
UEI College-Santa Cruz,CA,NULL,NULL,NULL,67
Uintah Basin Applied Technology College,UT,NULL,1855,27500,470
Ukiah Adult School,CA,0.6102,13055,NULL,39
Ulster BOCES School of Practical Nursing,NY,0.9821,15504,35900,143
Ulster County Community College,NY,NULL,4653,30800,2125
Ultimate Medical Academy-Clearwater,FL,NULL,NULL,25500,332
Ultimate Medical Academy-Tampa,FL,NULL,NULL,25500,12516
Ultrasound Medical Institute,FL,NULL,NULL,NULL,11
Umpqua Community College,OR,NULL,8338,28700,1069
Unification Theological Seminary,NY,NULL,NULL,NULL,33
Union College,KY,0.7523,NULL,31800,833
Union College,NE,0.5214,NULL,37900,747
Union College,NY,0.4112,NULL,64000,2204
Union County College,NJ,NULL,4473,31300,11234
Union County Vocational Technical School,NJ,NULL,7728,PrivacySuppressed,106
Union Graduate College,NY,NULL,NULL,NULL,NULL
Union Institute & University,OH,NULL,NULL,39600,1056
Union Presbyterian Seminary,VA,NULL,NULL,NULL,NULL
Union Presbyterian Seminary-Charlotte,NC,NULL,NULL,NULL,NULL
Union Theological Seminary in the City of New York,NY,NULL,NULL,PrivacySuppressed,NULL
Union University,TN,0.6858,NULL,39500,2441
Unitech Training Academy-Alexandria,LA,NULL,NULL,PrivacySuppressed,91
Unitech Training Academy-Houma,LA,NULL,NULL,PrivacySuppressed,55
Unitech Training Academy-Lafayette,LA,NULL,NULL,PrivacySuppressed,125
Unitech Training Academy-Lake Charles,LA,NULL,NULL,PrivacySuppressed,97
Unitech Training Academy-West Monroe,LA,NULL,NULL,PrivacySuppressed,106
United Beauty College,CO,NULL,NULL,NULL,91
United Education Institute,FL,NULL,NULL,NULL,NULL
United Education Institute-Huntington Park Campus,CA,NULL,NULL,24500,3564
United Medical and Business Institute,GA,NULL,NULL,NULL,36
United States Merchant Marine Academy,NY,NULL,5538,82000,939
United States Sports Academy,AL,NULL,NULL,PrivacySuppressed,90
United States University,CA,NULL,NULL,PrivacySuppressed,274
United Talmudical Seminary,NY,NULL,NULL,13400,2096
United Technical Center,WV,0.8571,6797,PrivacySuppressed,27
United Theological Seminary,OH,NULL,NULL,NULL,NULL
United Theological Seminary of the Twin Cities,MN,NULL,NULL,NULL,NULL
United Tribes Technical College,ND,NULL,NULL,14800,434
Unitek College,CA,NULL,NULL,NULL,1017
Unitek College,CA,NULL,NULL,NULL,74
Unitek College,CA,NULL,NULL,NULL,92
Unitek College,CA,NULL,NULL,NULL,NULL
Unity College,ME,0.931,NULL,34800,585
Unity Cosmetology College,IL,NULL,NULL,NULL,52
UnityPoint Health-Des Moines School of Radiologic Technology,IA,NULL,NULL,PrivacySuppressed,16
Universal Career School,FL,NULL,NULL,PrivacySuppressed,137
Universal College of Beauty Inc-Los Angeles 1,CA,NULL,NULL,14700,28
Universal College of Beauty Inc-Los Angeles 2,CA,NULL,NULL,14700,20
Universal College of Healing Arts,NE,NULL,NULL,PrivacySuppressed,14
Universal Spa Training Academy,IL,NULL,NULL,NULL,152
Universal Technical Institute - Dallas Fort Worth,TX,NULL,NULL,41500,1212
Universal Technical Institute of Arizona Inc,AZ,NULL,NULL,43500,2340
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,AZ,NULL,NULL,34800,1724
Universal Technical Institute of California Inc,CA,NULL,NULL,43500,2243
Universal Technical Institute of Illinois Inc,IL,NULL,NULL,43500,1403
Universal Technical Institute of Massachusetts Inc,MA,NULL,NULL,43500,1009
Universal Technical Institute of Northern California Inc,CA,NULL,NULL,34800,1804
Universal Technical Institute of Pennsylvania Inc,PA,NULL,NULL,41500,1623
Universal Technical Institute of Texas Inc.,TX,NULL,NULL,41500,1998
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,FL,NULL,NULL,34800,2959
Universal Technology College of Puerto Rico,PR,NULL,NULL,15600,412
Universal Therapeutic Massage Institute,NM,NULL,NULL,18200,61
Universal Training Institute,NJ,NULL,NULL,NULL,164
Universidad Adventista de las Antillas,PR,0.8405,NULL,18900,1223
Universidad Central de Bayamon,PR,0.5042,NULL,18500,1794
Universidad Central Del Caribe,PR,0.4444,NULL,PrivacySuppressed,140
Universidad Del Este,PR,NULL,NULL,18100,12198
Universidad del Sagrado Corazon,PR,0.2809,NULL,19900,4596
Universidad Del Turabo,PR,NULL,NULL,18300,14596
Universidad Metropolitana,PR,NULL,NULL,18900,11529
Universidad Pentecostal Mizpa,PR,NULL,NULL,PrivacySuppressed,340
Universidad Politecnica de Puerto Rico,PR,NULL,NULL,26000,3759
Universidad Teologica del Caribe,PR,NULL,NULL,17400,199
University Academy of Hair Design,AL,NULL,NULL,NULL,43
University at Buffalo,NY,0.5781,16293,48400,19488
University of Advancing Technology,AZ,0.8345,NULL,47200,784
University of Aesthetics-Chicago,IL,NULL,NULL,NULL,26
University of Akron Main Campus,OH,0.9571,18025,34300,18148
University of Akron Wayne College,OH,NULL,10676,34300,1233
University of Alabama at Birmingham,AL,0.8569,14789,39700,11383
University of Alabama in Huntsville,AL,0.8203,18596,45500,5451
University of Alaska Anchorage,AK,NULL,8661,42500,12865
University of Alaska Fairbanks,AK,NULL,9188,36200,5536
University of Alaska Southeast,AK,NULL,8971,37400,1428
University of Antelope Valley,CA,NULL,NULL,22300,753
University of Arizona,AZ,0.7462,15215,44000,32646
University of Arkansas,AR,0.6204,14143,43400,21405
University of Arkansas at Little Rock,AR,0.5928,13619,33900,7942
University of Arkansas at Monticello,AR,NULL,10141,31300,2885
University of Arkansas at Pine Bluff,AR,0.3868,8134,27200,2391
University of Arkansas Community College-Batesville,AR,NULL,1778,24600,1067
University of Arkansas Community College-Hope,AR,NULL,9109,22200,1078
University of Arkansas Community College-Morrilton,AR,0.6181,5566,26100,1920
University of Arkansas for Medical Sciences,AR,NULL,NULL,61400,711
University of Arkansas-Fort Smith,AR,0.5629,7536,30000,5990
University of Baltimore,MD,0.6204,14180,56500,3444
University of Bridgeport,CT,0.6072,NULL,42700,3021
University of California-Berkeley,CA,0.1602,13707,60800,27126
University of California-Davis,CA,0.4037,15514,56400,27547
University of California-Hastings College of Law,CA,NULL,NULL,104800,NULL
University of California-Irvine,CA,0.3742,12771,54500,24474
University of California-Los Angeles,CA,0.1856,13399,59600,29627
University of California-Merced,CA,0.6718,12327,PrivacySuppressed,5884
University of California-Riverside,CA,0.5829,13144,47200,18784
University of California-San Diego,CA,0.3329,14136,59000,24801
University of California-San Francisco,CA,NULL,NULL,126500,NULL
University of California-Santa Barbara,CA,0.3634,15755,51400,20237
University of California-Santa Cruz,CA,0.5572,16086,43000,16277
University of Central Arkansas,AR,0.9426,11087,36500,9232
University of Central Florida,FL,0.4961,13724,42900,52280
University of Central Missouri,MO,0.7795,14725,36600,9017
University of Central Oklahoma,OK,0.9032,11216,38300,14728
University of Charleston,WV,0.6077,NULL,42100,1513
University of Chicago,IL,0.0876,NULL,64000,5729
University of Cincinnati-Blue Ash College,OH,NULL,12752,38900,4790
University of Cincinnati-Clermont College,OH,NULL,13176,38900,2816
University of Cincinnati-Main Campus,OH,0.7578,22054,38900,23795
University of Colorado Boulder,CO,0.8416,21792,47700,25873
University of Colorado Colorado Springs,CO,0.924,15151,40600,9310
University of Colorado Denver/Anschutz Medical Campus,CO,0.7299,13774,57400,10786
University of Connecticut,CT,0.4996,20337,54000,18016
University of Connecticut-Avery Point,CT,0.6392,9862,54000,670
University of Connecticut-Stamford,CT,0.5685,8528,54000,1336
University of Connecticut-Tri-Campus,CT,0.6583,8688,54000,2272
University of Cosmetology Arts & Sciences-Harlingen,TX,NULL,NULL,15000,190
